#{"t_start": 1511377188.7684708, "env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
0.0,129,4.593003
3.0,231,8.763084
8.0,350,14.696955
1.0,173,17.312744
0.0,127,19.198702
1.0,171,21.537922
1.0,157,24.003767
3.0,272,28.143975
1.0,175,30.61336
2.0,224,34.351592
3.0,249,38.438467
0.0,127,40.381032
4.0,292,44.874351
3.0,250,48.950744
1.0,175,51.30462
0.0,127,53.224297
0.0,129,55.413154
4.0,322,59.935125
2.0,183,63.460483
0.0,127,64.520215
3.0,269,68.859329
4.0,297,74.139874
1.0,170,76.725005
0.0,127,78.62037
2.0,202,81.655087
3.0,253,85.501581
1.0,157,88.121379
0.0,129,90.013338
1.0,157,92.251799
3.0,272,96.726403
2.0,200,100.219507
3.0,251,104.357026
5.0,352,109.48718
0.0,129,111.40113
1.0,159,114.020575
0.0,129,115.844729
3.0,249,119.933621
1.0,157,122.33117
1.0,157,124.53493
0.0,127,126.685922
2.0,222,130.31325
4.0,285,135.105499
1.0,173,137.421896
1.0,155,139.970864
2.0,203,143.629195
0.0,127,145.574594
4.0,298,150.293954
5.0,346,155.408157
0.0,127,157.283157
2.0,201,161.046129
2.0,222,163.821027
2.0,207,167.633778
0.0,129,169.50141
2.0,202,172.502396
0.0,129,174.342078
0.0,127,176.088363
0.0,125,178.149461
2.0,200,181.013356
1.0,175,184.017824
11.0,499,191.600953
2.0,198,195.127668
1.0,157,197.36066
0.0,127,199.558125
0.0,125,201.364418
0.0,125,203.234461
1.0,153,205.691681
7.0,390,211.911449
0.0,129,213.012343
0.0,127,214.898909
0.0,129,216.913095
1.0,178,220.313348
1.0,155,222.37627
3.0,233,225.463188
1.0,155,227.643384
1.0,174,231.017444
2.0,204,233.658472
0.0,125,235.516469
5.0,348,241.368678
9.0,385,247.467329
2.0,202,250.391148
3.0,253,254.269554
0.0,127,256.244052
2.0,203,259.159694
1.0,155,261.340819
0.0,129,263.515501
0.0,127,265.404397
2.0,221,269.043612
6.0,398,275.394346
3.0,255,279.645051
1.0,175,282.153255
2.0,190,284.887671
13.0,422,291.60435
1.0,155,294.521513
1.0,153,297.01871
3.0,268,301.044873
0.0,127,302.498404
2.0,203,305.858661
0.0,129,307.727821
4.0,278,312.128769
3.0,238,316.216825
6.0,403,322.490616
2.0,209,325.158825
1.0,178,328.458647
5.0,309,332.945182
4.0,324,337.577815
11.0,498,345.615568
4.0,265,349.818405
1.0,157,352.021693
9.0,382,358.310472
2.0,185,361.098535
3.0,233,364.788593
5.0,298,369.463206
4.0,278,373.928324
3.0,234,377.682583
1.0,173,380.321557
7.0,406,386.751542
4.0,277,390.790753
3.0,237,394.987365
3.0,251,398.835133
10.0,453,405.984035
3.0,270,410.059114
11.0,524,418.399018
2.0,223,422.003839
9.0,528,430.166729
1.0,176,432.824661
1.0,153,434.927227
5.0,349,440.805285
10.0,451,447.704334
4.0,283,453.09062
4.0,296,457.359341
10.0,452,464.527063
3.0,230,468.243874
10.0,513,476.399473
2.0,202,479.361762
3.0,256,483.268367
2.0,221,487.088041
2.0,200,489.623616
3.0,252,493.609794
10.0,429,499.933557
5.0,333,505.638859
9.0,403,512.039535
4.0,317,516.888497
4.0,261,520.790114
4.0,281,525.343192
1.0,157,527.524853
2.0,220,531.401549
1.0,157,533.544686
4.0,301,538.070727
1.0,157,540.185657
3.0,235,544.121542
4.0,268,548.19026
6.0,382,554.223518
7.0,450,560.806903
1.0,154,563.086583
3.0,251,566.867323
2.0,203,570.61599
10.0,513,578.824239
3.0,249,583.086016
16.0,605,592.026923
0.0,123,593.843445
13.0,567,602.87531
3.0,218,606.374323
10.0,544,614.903334
3.0,234,618.479516
4.0,283,622.812874
7.0,409,629.317071
2.0,186,631.652372
4.0,279,636.106431
10.0,455,643.73548
3.0,213,646.709003
3.0,250,650.476516
10.0,480,658.296435
10.0,453,664.846903
10.0,429,672.012853
10.0,554,680.862928
4.0,285,685.073094
4.0,261,689.260866
8.0,370,695.309035
8.0,299,699.971115
9.0,350,704.974932
11.0,481,712.718859
4.0,249,716.533039
2.0,187,719.086662
10.0,539,727.322719
11.0,550,736.642989
0.0,127,738.119422
4.0,288,742.926765
1.0,178,745.658825
6.0,353,751.565037
7.0,362,756.150949
10.0,549,764.646357
7.0,250,768.338038
10.0,368,774.203216
4.0,300,778.889095
10.0,503,786.899562
8.0,400,793.184979
14.0,571,801.666906
2.0,203,805.149894
5.0,279,809.488214
3.0,271,813.466141
6.0,357,819.325367
6.0,340,824.37312
6.0,375,830.441263
5.0,334,836.049548
8.0,447,842.567197
12.0,590,851.198728
15.0,456,858.752381
6.0,307,863.391327
5.0,332,869.065784
16.0,642,879.289944
19.0,755,890.532404
10.0,432,897.682662
10.0,489,904.624376
8.0,406,910.940202
1.0,177,914.420591
7.0,387,920.478447
2.0,200,922.959149
4.0,269,926.984616
10.0,351,932.648454
7.0,378,937.665684
10.0,377,943.723467
16.0,540,952.361521
10.0,362,958.082506
16.0,467,965.760519
9.0,511,973.659189
7.0,379,978.827616
9.0,434,986.155721
11.0,533,994.471518
19.0,566,1002.917447
8.0,284,1007.307675
7.0,442,1014.509481
12.0,476,1021.404243
6.0,357,1027.276634
13.0,501,1035.234104
6.0,361,1040.119858
13.0,520,1048.084514
20.0,393,1054.357935
9.0,345,1060.121255
4.0,251,1064.32649
17.0,685,1074.869084
11.0,563,1083.596264
7.0,411,1089.706356
6.0,378,1095.764764
5.0,328,1101.050413
18.0,685,1111.858396
13.0,528,1119.927585
9.0,485,1127.861228
11.0,504,1135.11028
15.0,576,1144.744239
9.0,449,1151.599806
10.0,516,1159.745063
30.0,786,1172.112431
8.0,408,1178.336164
11.0,533,1186.890544
8.0,465,1194.486608
13.0,581,1203.134541
8.0,460,1210.526181
17.0,635,1220.594358
17.0,631,1229.821332
21.0,572,1239.821217
19.0,700,1250.380578
23.0,703,1260.899436
7.0,394,1266.988236
12.0,578,1276.450586
5.0,291,1280.942166
15.0,429,1287.374065
8.0,375,1293.276833
10.0,511,1301.278564
25.0,663,1312.033891
29.0,726,1324.074898
8.0,392,1330.153476
8.0,401,1336.311583
19.0,623,1345.228805
12.0,554,1354.437328
16.0,608,1363.68284
