#{"t_start": 1511377188.8685398, "env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
0.0,127,4.454947
1.0,155,7.010286
0.0,125,9.12648
5.0,308,14.50075
0.0,127,16.660539
0.0,127,17.752507
0.0,127,19.685699
1.0,157,22.008872
1.0,153,24.310587
1.0,176,27.435959
2.0,222,30.429111
1.0,169,33.579836
6.0,336,38.583637
5.0,349,44.445964
1.0,175,46.78253
2.0,206,49.682872
0.0,125,51.538568
2.0,200,55.198756
0.0,129,57.082991
1.0,177,59.463519
0.0,127,61.538668
3.0,248,65.469706
1.0,172,68.030595
0.0,129,69.988213
2.0,225,72.869065
1.0,155,76.179743
3.0,252,79.323033
0.0,129,81.657594
2.0,200,84.972558
0.0,129,87.042941
0.0,129,89.256276
0.0,125,90.32228
1.0,174,93.620277
1.0,178,96.249184
3.0,248,100.289254
0.0,125,102.3488
0.0,129,104.253802
10.0,472,111.357363
4.0,242,115.477527
2.0,203,118.095432
0.0,129,120.42014
0.0,129,122.357851
0.0,129,124.285452
0.0,129,126.41402
4.0,299,130.846841
2.0,221,135.02844
5.0,352,140.314326
2.0,206,143.930008
3.0,248,148.17663
3.0,268,152.547018
0.0,129,154.559807
0.0,127,156.374324
1.0,173,158.96458
1.0,157,161.253438
5.0,328,166.184144
4.0,317,171.596583
2.0,202,174.400765
2.0,200,177.697187
1.0,155,180.284796
3.0,230,183.023385
1.0,157,186.424098
8.0,352,191.29442
1.0,155,193.726192
2.0,204,197.115495
3.0,252,201.304242
9.0,404,207.72197
4.0,294,212.292439
11.0,458,219.268965
3.0,246,222.975175
2.0,225,226.802323
0.0,127,228.74706
1.0,170,231.260132
4.0,298,235.639876
0.0,127,237.747063
3.0,235,241.43827
6.0,400,247.685943
2.0,223,250.813391
6.0,379,257.06515
3.0,251,260.952793
2.0,222,264.847497
2.0,206,267.490119
6.0,381,273.632856
0.0,129,275.877434
3.0,248,279.842289
1.0,177,282.505191
3.0,232,286.316172
3.0,256,290.620367
2.0,203,293.206772
4.0,261,297.55951
4.0,280,301.950236
1.0,171,304.330296
4.0,322,309.953142
11.0,469,316.964836
0.0,127,318.837813
1.0,178,322.169217
4.0,299,326.47522
2.0,223,329.449934
1.0,155,332.409691
5.0,352,337.364468
