#{"t_start": 1511377188.9773016, "env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
0.0,129,4.382793
2.0,204,8.224533
1.0,174,10.921526
2.0,218,14.511261
1.0,173,17.128284
3.0,248,20.958168
1.0,174,23.611811
1.0,155,25.813726
6.0,398,32.049876
1.0,175,34.529804
0.0,129,36.600799
0.0,125,38.553411
5.0,349,44.407404
7.0,328,49.259214
2.0,225,52.901625
0.0,127,55.005569
2.0,221,57.794461
1.0,157,60.791348
1.0,153,63.23194
0.0,125,64.269259
0.0,129,66.170698
1.0,154,68.605604
5.0,350,74.707858
0.0,127,76.607204
3.0,249,80.665757
3.0,270,84.888394
0.0,129,86.958216
1.0,157,89.414427
4.0,303,94.221418
0.0,127,96.092715
0.0,127,97.986926
2.0,200,100.956492
3.0,233,104.643962
2.0,202,107.594682
0.0,127,109.458911
0.0,129,111.366822
0.0,129,113.692302
1.0,153,115.759254
2.0,204,119.208812
3.0,248,123.449738
5.0,327,128.430129
0.0,127,130.310437
2.0,202,133.435428
0.0,127,135.37449
4.0,287,140.022204
1.0,173,143.334313
0.0,127,144.461314
1.0,157,147.765293
2.0,203,150.505783
7.0,406,156.932262
0.0,125,159.182931
7.0,428,165.87229
0.0,125,167.782528
1.0,173,170.066198
0.0,123,172.290522
5.0,321,177.441878
1.0,157,180.072408
8.0,330,184.993702
6.0,358,190.485778
0.0,129,192.884594
2.0,202,195.490171
1.0,171,198.171763
2.0,186,201.351447
4.0,302,206.036404
1.0,155,208.155643
0.0,129,209.997525
0.0,129,212.245745
4.0,276,216.338833
4.0,299,220.981399
2.0,227,224.747285
7.0,412,231.268758
1.0,173,233.579745
1.0,157,235.770449
3.0,228,239.683232
1.0,174,241.954619
5.0,368,247.908899
3.0,252,252.077748
0.0,127,253.969374
2.0,200,256.915924
1.0,155,259.127231
0.0,127,261.005799
1.0,174,263.605796
0.0,125,265.509102
2.0,203,269.029766
4.0,244,272.910765
1.0,173,275.43501
0.0,127,277.582263
1.0,157,279.778419
2.0,223,282.953995
1.0,157,285.909348
0.0,127,287.032185
2.0,199,290.83508
3.0,230,294.451334
1.0,177,297.171834
1.0,157,299.362029
7.0,301,304.015298
5.0,350,309.931483
0.0,129,311.749639
3.0,234,315.771518
8.0,379,320.943005
1.0,155,323.208673
7.0,444,330.644174
12.0,544,338.97872
1.0,155,341.464666
4.0,299,345.727653
5.0,332,351.423012
3.0,250,355.601392
1.0,157,357.783319
1.0,177,360.453465
6.0,399,366.878785
3.0,230,370.602183
2.0,187,373.313954
1.0,175,375.742137
1.0,173,378.851608
11.0,500,386.605676
9.0,448,394.285394
4.0,300,398.626273
3.0,252,402.82571
1.0,153,404.945419
6.0,398,411.233624
1.0,160,413.703615
2.0,224,417.286009
4.0,280,421.522956
1.0,157,423.637458
1.0,175,426.112617
1.0,176,428.460874
1.0,173,431.62825
2.0,224,434.596823
1.0,176,437.760375
2.0,184,440.438585
6.0,378,446.65223
0.0,129,448.565976
3.0,249,452.038171
2.0,200,455.341531
2.0,203,458.314745
4.0,305,463.461613
3.0,230,466.639251
2.0,220,470.235454
9.0,404,476.636458
7.0,380,482.770166
3.0,217,485.772795
6.0,378,491.774032
2.0,226,495.196731
12.0,510,503.448834
7.0,426,510.101185
5.0,348,515.793005
5.0,328,520.625859
10.0,431,527.419549
10.0,417,534.718248
11.0,472,541.711293
4.0,299,546.245568
1.0,155,548.507986
1.0,157,551.50239
