#{"t_start": 1511377188.7255213, "env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
0.0,123,4.541385
0.0,125,6.835637
2.0,202,10.604089
4.0,318,15.189507
0.0,129,17.358974
1.0,155,19.535993
0.0,129,21.442441
2.0,221,25.360383
1.0,175,27.699293
1.0,158,30.063274
1.0,173,32.408754
0.0,125,34.340332
3.0,234,38.237742
0.0,127,40.240423
1.0,175,42.76414
1.0,173,45.134593
2.0,204,48.685622
3.0,251,52.657125
1.0,171,55.170627
5.0,347,60.051891
1.0,155,62.484363
1.0,175,65.611096
0.0,129,67.533876
0.0,127,68.902424
0.0,129,70.836442
2.0,198,74.438304
1.0,157,76.813236
0.0,129,78.734648
0.0,129,80.745815
4.0,283,85.194198
2.0,220,88.411291
0.0,127,90.293643
3.0,268,94.782473
0.0,127,96.652228
1.0,173,99.002579
4.0,299,104.498707
0.0,125,106.293902
0.0,125,107.744164
9.0,380,114.066697
4.0,260,117.930074
1.0,173,120.708905
1.0,171,123.824896
2.0,185,126.483553
0.0,127,128.496183
0.0,127,130.390033
1.0,172,133.142094
2.0,200,135.875067
2.0,184,139.266973
6.0,381,145.744601
2.0,200,148.680239
2.0,185,151.191048
0.0,127,153.403654
4.0,299,158.450222
1.0,176,161.204208
2.0,200,163.756489
2.0,203,167.515632
1.0,176,169.819846
3.0,230,173.865336
4.0,277,177.966789
0.0,129,180.202776
0.0,125,181.274201
2.0,184,184.4911
10.0,425,191.000092
0.0,129,193.340969
1.0,175,195.660934
3.0,228,199.707675
1.0,168,201.917058
0.0,125,203.785361
4.0,302,208.434355
8.0,354,214.321559
2.0,224,217.442185
0.0,129,219.385577
4.0,319,224.818297
0.0,123,226.642381
14.0,466,233.668861
1.0,172,236.042946
1.0,156,238.452883
5.0,346,244.217744
1.0,157,246.289233
3.0,249,250.497416
0.0,129,252.364459
2.0,207,255.02444
3.0,250,259.280347
5.0,327,264.951133
3.0,271,269.116544
3.0,250,273.097341
1.0,155,275.346007
5.0,312,280.220222
0.0,127,282.239622
0.0,129,284.347062
5.0,328,289.403551
4.0,296,293.674764
2.0,203,297.454596
5.0,307,302.137507
7.0,398,308.406928
8.0,419,315.026198
2.0,220,318.629091
2.0,227,322.440403
2.0,206,325.090616
3.0,249,329.112312
5.0,348,334.835392
5.0,291,338.980129
1.0,155,341.46669
3.0,219,344.169387
5.0,352,350.043506
1.0,157,352.228094
0.0,129,354.456414
2.0,202,357.839158
4.0,299,362.60079
5.0,350,367.741352
3.0,249,371.54423
4.0,281,376.074129
2.0,185,379.327759
2.0,185,382.123704
2.0,202,384.628548
5.0,344,390.504233
0.0,127,392.441526
4.0,279,396.8961
4.0,282,401.402323
5.0,349,407.29076
9.0,506,415.367736
5.0,348,420.290835
0.0,129,422.146938
4.0,280,426.399512
1.0,157,428.542017
3.0,231,432.436741
2.0,184,434.869265
5.0,329,440.53299
9.0,401,446.979746
1.0,155,449.149625
3.0,237,453.276444
2.0,185,455.657155
2.0,188,458.472173
16.0,563,468.007621
7.0,398,474.285481
2.0,183,476.736471
5.0,312,481.477179
4.0,259,485.67396
2.0,201,489.049643
3.0,254,493.086759
10.0,379,498.113326
1.0,159,501.045241
3.0,254,504.439497
3.0,248,508.193236
3.0,273,512.602161
3.0,230,516.475581
4.0,263,520.503749
3.0,238,524.714471
11.0,475,531.845507
4.0,262,535.890637
2.0,225,539.544881
4.0,276,543.849276
0.0,127,545.751957
7.0,458,552.530693
4.0,266,556.630824
3.0,229,560.243168
6.0,384,566.197917
4.0,258,570.460497
9.0,445,577.266675
5.0,330,582.260799
12.0,530,591.265198
2.0,225,594.199567
11.0,477,602.269779
7.0,406,608.517756
5.0,328,613.099255
3.0,239,616.887338
12.0,518,625.065893
0.0,123,627.145097
