#{"t_start": 1511377188.7356193, "env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
0.0,129,4.624406
2.0,217,8.610443
0.0,127,10.817884
0.0,129,12.738591
0.0,127,14.635655
5.0,339,19.680578
0.0,127,21.5715
0.0,129,23.740977
3.0,248,27.621696
0.0,125,29.66107
1.0,157,31.7642
0.0,129,33.823946
0.0,129,35.947475
4.0,319,40.600117
2.0,203,43.421629
3.0,252,47.308728
4.0,301,52.705259
2.0,204,55.6403
0.0,125,57.413802
0.0,129,59.316492
2.0,200,62.200399
0.0,129,64.164675
0.0,127,66.014853
3.0,252,70.201195
1.0,173,72.554485
0.0,129,74.848815
2.0,224,78.488132
0.0,127,80.39736
0.0,129,81.923386
0.0,125,83.730067
3.0,250,88.038344
2.0,223,91.679597
0.0,125,93.669252
5.0,351,98.803993
0.0,129,101.055379
0.0,129,103.022564
2.0,202,106.339769
2.0,220,109.445218
0.0,129,111.357515
0.0,129,113.607915
3.0,250,117.468432
0.0,129,119.413116
3.0,272,123.934623
1.0,157,126.20341
2.0,200,129.027489
1.0,175,132.230932
1.0,153,134.884047
2.0,204,137.521076
1.0,177,140.322165
1.0,155,142.553887
0.0,129,144.580623
1.0,173,148.063247
4.0,297,152.748362
4.0,302,157.09905
2.0,205,160.945192
1.0,157,163.086989
2.0,226,166.262139
1.0,175,169.390766
2.0,202,172.34405
1.0,176,174.671737
3.0,269,179.05327
1.0,176,182.176103
0.0,127,183.182665
9.0,419,190.435482
0.0,127,192.798601
0.0,127,193.967951
0.0,127,195.818858
0.0,129,197.95831
2.0,200,201.399082
2.0,183,203.860098
1.0,170,206.429563
0.0,129,208.304327
0.0,125,210.084475
4.0,322,214.988652
0.0,129,217.020432
4.0,320,222.472164
3.0,237,225.591224
4.0,297,230.959643
1.0,173,233.286293
4.0,301,237.958187
0.0,127,239.830423
3.0,271,244.067587
2.0,202,246.580739
0.0,127,248.495921
5.0,346,254.392186
1.0,178,257.099475
1.0,175,259.521763
6.0,374,265.657479
7.0,420,272.149691
2.0,203,275.789635
2.0,219,279.582544
1.0,155,281.780843
0.0,129,284.016468
1.0,157,286.209976
1.0,155,288.463606
3.0,229,291.639012
6.0,395,298.064928
8.0,375,304.20261
3.0,252,308.178882
5.0,307,312.706999
3.0,232,316.737643
4.0,297,321.06773
3.0,249,325.037133
0.0,129,326.934544
2.0,222,330.659956
0.0,129,332.61449
1.0,155,334.943505
3.0,234,337.774182
3.0,248,341.877937
6.0,330,347.312379
2.0,202,350.086655
3.0,218,353.732419
4.0,288,358.202219
2.0,202,361.171824
5.0,349,367.008109
2.0,186,369.582216
2.0,185,372.791677
4.0,304,377.528548
4.0,294,382.196412
5.0,308,386.905213
3.0,212,390.309452
6.0,365,396.459283
0.0,123,398.252721
1.0,155,400.80372
0.0,129,402.666366
1.0,174,404.995989
2.0,185,407.73087
2.0,185,410.14547
5.0,304,415.509404
5.0,309,420.044862
7.0,386,426.064629
6.0,361,431.796394
7.0,308,436.415847
1.0,177,439.105748
7.0,391,445.36735
6.0,397,451.791905
10.0,451,459.508977
4.0,283,463.656188
3.0,273,468.084814
7.0,449,474.839925
1.0,173,477.442205
4.0,299,482.588999
5.0,276,486.957264
1.0,155,489.103257
9.0,474,495.832029
5.0,329,501.322469
4.0,281,505.771216
3.0,216,508.426523
1.0,153,510.912256
6.0,348,516.828453
7.0,381,522.983601
3.0,253,527.009496
4.0,284,531.499914
5.0,307,536.056297
5.0,330,541.370826
2.0,190,544.119654
5.0,369,550.150362
3.0,218,552.830342
5.0,326,558.266514
4.0,262,562.365114
10.0,450,569.175286
8.0,330,574.630301
4.0,282,578.984661
3.0,229,582.227661
17.0,604,591.96837
4.0,305,596.682223
3.0,230,600.365171
3.0,246,604.346399
4.0,283,608.669517
5.0,307,613.018799
6.0,340,618.552711
4.0,300,623.028182
6.0,343,628.927666
2.0,226,631.621542
6.0,377,637.792807
5.0,314,642.551167
7.0,446,650.027986
5.0,291,654.524959
4.0,261,658.396893
3.0,250,662.316542
7.0,374,668.098485
11.0,482,675.120576
3.0,249,679.251035
5.0,311,683.650811
3.0,254,687.845591
2.0,203,691.159363
9.0,384,697.402617
4.0,305,702.127385
9.0,476,709.069193
6.0,402,716.108223
10.0,436,722.542258
5.0,326,727.232142
5.0,320,732.873182
2.0,204,735.419762
6.0,377,741.479156
7.0,450,748.342788
8.0,455,755.744974
13.0,564,764.337344
1.0,176,766.602771
8.0,415,773.659408
6.0,347,778.754978
3.0,233,782.290508
5.0,295,786.871375
4.0,247,790.964677
6.0,386,796.954184
5.0,328,801.403095
29.0,767,813.649551
3.0,253,817.758307
7.0,430,824.383126
13.0,524,832.606109
4.0,317,838.063502
8.0,440,844.556027
9.0,468,851.262788
6.0,342,856.984229
24.0,736,869.080034
13.0,564,877.792999
16.0,542,886.135772
5.0,299,890.492273
5.0,315,895.812288
19.0,587,904.405167
17.0,454,911.999583
5.0,316,916.714886
5.0,312,921.356228
6.0,357,926.893421
5.0,370,932.783777
8.0,480,939.777085
14.0,479,947.590782
31.0,512,955.632022
2.0,182,958.174303
13.0,532,966.432104
12.0,323,971.747471
7.0,351,976.437157
4.0,302,981.6518
15.0,672,992.347404
7.0,385,998.444965
4.0,268,1002.351972
15.0,524,1010.540057
17.0,518,1017.905726
10.0,360,1023.691861
8.0,424,1030.063145
7.0,392,1036.144057
9.0,490,1043.915652
14.0,491,1051.799084
7.0,467,1058.780752
10.0,514,1067.01648
13.0,354,1072.889728
12.0,513,1080.899577
2.0,187,1083.505151
18.0,607,1093.016969
17.0,557,1101.7842
14.0,510,1109.94149
19.0,690,1120.315526
13.0,632,1130.511855
5.0,308,1135.023478
11.0,402,1141.39528
9.0,486,1149.415322
3.0,247,1153.35233
12.0,457,1160.175827
9.0,353,1165.719076
23.0,738,1177.687272
23.0,473,1184.466113
10.0,495,1192.500987
10.0,450,1199.47804
10.0,482,1207.018334
10.0,464,1214.529235
18.0,685,1224.915824
8.0,436,1231.731129
5.0,300,1236.182288
17.0,610,1246.29877
7.0,423,1252.584298
20.0,658,1262.457549
9.0,439,1268.991826
8.0,316,1274.521977
8.0,410,1280.884725
10.0,371,1286.785926
6.0,329,1291.453759
6.0,322,1296.839687
6.0,381,1301.923046
12.0,578,1311.879228
14.0,647,1322.038108
13.0,585,1331.023608
9.0,473,1338.617859
14.0,585,1347.163512
32.0,551,1356.754977
14.0,530,1364.907111
19.0,649,1374.591392
15.0,610,1383.547346
11.0,525,1391.524465
4.0,262,1395.63148
4.0,297,1399.813011
12.0,601,1409.88539
9.0,327,1414.662312
16.0,683,1426.028986
13.0,507,1433.328111
6.0,309,1438.334809
12.0,521,1446.15972
8.0,426,1452.531457
13.0,489,1460.639836
21.0,674,1470.933043
9.0,442,1477.403827
18.0,680,1488.017395
10.0,542,1496.375893
11.0,596,1505.909054
25.0,804,1518.378791
4.0,297,1522.538833
13.0,548,1532.027891
9.0,493,1538.761946
16.0,618,1548.471246
5.0,291,1552.983872
7.0,406,1559.324345
13.0,511,1567.326408
8.0,387,1573.371344
8.0,439,1579.84111
12.0,316,1585.147868
4.0,244,1588.077731
12.0,475,1596.260549
9.0,464,1603.942017
27.0,611,1613.023364
7.0,377,1618.925398
17.0,483,1626.493798
24.0,853,1639.334685
26.0,760,1651.472185
12.0,617,1661.386131
13.0,638,1671.466966
14.0,532,1679.650087
12.0,531,1688.285217
15.0,587,1696.919324
15.0,420,1703.143051
13.0,622,1713.27154
16.0,610,1722.872381
14.0,585,1731.268836
17.0,382,1737.142123
12.0,577,1746.868387
7.0,357,1751.946935
20.0,616,1761.779629
18.0,569,1770.181644
11.0,542,1778.700179
9.0,434,1786.041988
19.0,326,1790.691803
18.0,514,1798.861875
5.0,331,1804.267027
8.0,430,1810.631799
28.0,796,1822.87975
28.0,809,1835.484493
9.0,427,1841.73666
14.0,632,1851.755314
17.0,612,1861.471682
24.0,996,1877.248964
21.0,808,1889.7414
26.0,518,1897.962387
7.0,395,1903.935793
14.0,614,1912.740333
9.0,514,1920.958065
16.0,689,1932.244056
13.0,589,1940.915753
22.0,663,1951.025483
29.0,514,1959.080041
26.0,932,1973.624884
20.0,595,1983.109397
11.0,560,1991.609406
33.0,870,2005.401354
19.0,788,2017.469325
12.0,601,2026.611118
18.0,767,2038.552246
15.0,441,2045.914827
16.0,713,2056.7969
17.0,735,2068.766819
24.0,818,2081.04652
17.0,639,2091.599774
22.0,731,2102.374237
20.0,733,2113.771991
14.0,664,2124.280181
19.0,436,2130.750261
34.0,801,2143.384156
32.0,759,2154.180067
42.0,1015,2169.899535
11.0,544,2177.944511
19.0,691,2189.137171
21.0,590,2197.708817
14.0,512,2205.555083
25.0,647,2215.526706
27.0,710,2225.66056
7.0,418,2232.539545
32.0,972,2247.564425
20.0,521,2255.626759
29.0,529,2263.480385
15.0,550,2272.219873
25.0,845,2285.454984
60.0,1268,2303.896328
31.0,803,2316.815293
26.0,717,2327.874568
20.0,559,2336.426178
25.0,728,2347.866563
32.0,656,2358.381847
34.0,602,2368.006768
17.0,663,2378.294889
11.0,271,2382.345197
42.0,634,2391.707433
17.0,650,2402.081453
39.0,775,2413.715095
50.0,775,2425.940433
20.0,617,2436.149194
10.0,456,2442.432086
11.0,386,2448.312594
20.0,690,2459.426513
26.0,750,2470.448757
34.0,674,2481.378331
34.0,1014,2496.763251
8.0,460,2504.263508
13.0,561,2512.728961
36.0,658,2522.671491
50.0,931,2536.746751
25.0,938,2552.522267
10.0,446,2559.189611
16.0,636,2568.862298
21.0,928,2583.261656
44.0,845,2596.126708
20.0,828,2609.419893
32.0,841,2622.68839
22.0,700,2634.072595
33.0,887,2647.106883
24.0,846,2661.154507
43.0,1077,2677.980497
36.0,1063,2694.586501
13.0,372,2700.505888
26.0,872,2714.121468
7.0,380,2719.890055
21.0,736,2730.902066
29.0,835,2744.453457
23.0,499,2752.159537
20.0,540,2760.692526
29.0,822,2773.15119
25.0,804,2785.532816
18.0,596,2795.097032
25.0,779,2807.24636
34.0,686,2817.739257
23.0,589,2827.416648
5.0,300,2832.075725
28.0,844,2844.99875
42.0,889,2858.711729
31.0,532,2866.90801
21.0,515,2875.040985
32.0,922,2889.460231
18.0,796,2901.845123
19.0,783,2913.770735
17.0,577,2923.311592
14.0,675,2933.434063
28.0,658,2943.880875
24.0,712,2954.569807
14.0,612,2964.336447
12.0,594,2973.425436
15.0,546,2982.352443
11.0,471,2989.021131
19.0,596,2998.59382
43.0,933,3013.524881
33.0,977,3028.137603
34.0,960,3044.003312
33.0,1076,3060.718726
34.0,1031,3077.080261
