#{"t_start": 1511377188.9544592, "env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
6.0,359,1373.537332
14.0,374,1379.240717
30.0,895,1393.325856
3.0,246,1397.263742
12.0,536,1405.551541
10.0,342,1411.324696
12.0,427,1417.806086
8.0,400,1424.155684
14.0,537,1432.339755
14.0,598,1441.926108
10.0,546,1449.964079
16.0,512,1458.046317
8.0,374,1463.370288
17.0,614,1473.238233
7.0,350,1478.784926
21.0,603,1487.762033
7.0,250,1491.788559
5.0,349,1497.293516
29.0,963,1511.957176
24.0,783,1524.35839
13.0,632,1534.299991
11.0,517,1542.095973
11.0,488,1549.910142
17.0,594,1559.036495
10.0,477,1566.724415
36.0,960,1581.382095
12.0,599,1591.296995
8.0,444,1598.036704
10.0,484,1605.840252
8.0,299,1610.547082
18.0,512,1618.461702
11.0,531,1626.457339
11.0,572,1635.234182
23.0,670,1645.393561
12.0,549,1654.75928
18.0,634,1663.809145
15.0,549,1673.075684
26.0,781,1685.449717
29.0,784,1697.877509
21.0,674,1708.247145
12.0,392,1714.499593
25.0,702,1724.792423
24.0,779,1736.760441
5.0,304,1741.291866
10.0,503,1749.308347
19.0,817,1762.10878
13.0,624,1771.980624
20.0,568,1781.276475
13.0,633,1790.825546
13.0,448,1798.258601
6.0,306,1802.495496
9.0,458,1809.865833
21.0,565,1818.544213
9.0,422,1824.993844
17.0,655,1835.083899
12.0,570,1843.631924
38.0,684,1854.583778
25.0,816,1867.429435
23.0,783,1879.320472
27.0,819,1892.03245
13.0,574,1901.645554
8.0,406,1907.674384
26.0,532,1915.917474
23.0,779,1928.344904
20.0,729,1938.785762
23.0,779,1950.933877
21.0,856,1964.770565
21.0,734,1975.611511
35.0,1001,1991.600612
20.0,750,2003.410039
13.0,608,2012.378803
19.0,648,2022.339802
29.0,912,2036.445257
15.0,527,2044.851593
23.0,740,2056.900597
14.0,536,2065.362035
19.0,732,2076.855871
16.0,611,2085.829864
34.0,592,2095.506594
17.0,575,2104.208732
31.0,846,2117.673606
26.0,785,2130.060168
19.0,562,2138.038974
15.0,587,2147.025027
19.0,745,2157.982677
27.0,478,2165.35743
17.0,601,2175.111564
17.0,646,2184.733444
21.0,665,2195.081
23.0,778,2207.018492
18.0,773,2218.591732
21.0,488,2225.289486
19.0,566,2234.589125
18.0,627,2243.426842
19.0,544,2251.905611
16.0,616,2261.606348
7.0,395,2267.619519
11.0,521,2275.760599
20.0,753,2287.353667
33.0,901,2301.022339
17.0,600,2309.357131
29.0,566,2318.99643
21.0,635,2328.959125
26.0,963,2343.695758
16.0,687,2354.158092
8.0,417,2360.553157
23.0,701,2372.070286
8.0,381,2378.03402
11.0,271,2382.062821
20.0,475,2389.14335
23.0,769,2401.225245
11.0,486,2408.962011
21.0,795,2421.105087
44.0,1084,2438.021027
43.0,1227,2457.296085
31.0,601,2466.189455
30.0,858,2479.362284
48.0,864,2493.694392
29.0,717,2504.240128
26.0,637,2514.17547
48.0,980,2528.727366
27.0,917,2543.663705
25.0,855,2556.825997
23.0,731,2568.505693
40.0,1359,2589.401413
32.0,1024,2605.503842
16.0,657,2615.913392
40.0,1161,2634.381599
46.0,1234,2654.069292
24.0,727,2665.353247
11.0,526,2673.541744
41.0,936,2688.067704
20.0,788,2700.57566
40.0,990,2715.862153
36.0,957,2730.638831
51.0,1097,2748.25353
40.0,1106,2765.38242
39.0,795,2778.06774
39.0,620,2787.260388
29.0,742,2799.183872
31.0,682,2809.416153
30.0,698,2820.109635
17.0,594,2829.947811
31.0,681,2840.605216
24.0,724,2852.072277
31.0,718,2863.023176
27.0,759,2874.975358
17.0,598,2884.619833
23.0,833,2897.284692
36.0,850,2910.816215
13.0,659,2920.955319
20.0,614,2930.029762
20.0,646,2940.056047
32.0,926,2954.488973
27.0,829,2968.152114
10.0,466,2974.951825
32.0,1053,2991.01848
23.0,855,3004.939468
14.0,624,3015.033369
21.0,646,3024.864888
24.0,816,3037.826092
37.0,990,3053.802464
29.0,844,3066.516203
25.0,740,3078.586878
19.0,628,3088.212947
21.0,758,3099.383007
49.0,834,3112.734264
24.0,827,3125.059351
30.0,792,3137.733767
7.0,388,3143.76141
29.0,763,3155.520456
38.0,940,3170.037609
15.0,518,3177.98148
21.0,777,3190.13663
25.0,644,3200.25282
49.0,1021,3216.279876
39.0,1228,3235.392889
16.0,610,3245.027436
56.0,1324,3266.15701
52.0,1319,3287.776491
52.0,1178,3308.172463
56.0,1142,3326.433815
40.0,885,3341.352839
46.0,1140,3360.660864
31.0,937,3376.254818
28.0,773,3388.781317
23.0,658,3399.567486
11.0,508,3407.960338
57.0,865,3422.681328
26.0,873,3435.586364
38.0,1127,3453.57087
16.0,733,3465.231986
20.0,827,3477.750178
15.0,644,3488.13824
164.0,828,3500.612115
41.0,1216,3520.013889
35.0,900,3533.953454
30.0,902,3548.113086
41.0,935,3562.079211
37.0,982,3577.092737
38.0,1043,3593.300734
23.0,712,3605.27933
13.0,482,3612.135735
49.0,1214,3631.665526
22.0,794,3643.946098
51.0,1055,3659.828547
9.0,493,3667.70908
28.0,862,3680.84535
13.0,299,3685.935781
29.0,923,3699.998137
42.0,1097,3716.651591
15.0,595,3726.134887
42.0,960,3740.763931
10.0,482,3748.678195
33.0,609,3758.081025
46.0,742,3770.494309
20.0,782,3783.371441
37.0,1013,3800.395788
40.0,1157,3819.659249
22.0,662,3829.798722
17.0,380,3835.872385
24.0,708,3846.932099
38.0,1008,3863.879071
17.0,679,3874.496385
30.0,764,3887.413825
27.0,634,3898.180106
31.0,911,3913.308626
8.0,389,3919.545964
36.0,1200,3939.581125
36.0,975,3956.613965
11.0,377,3962.133024
19.0,632,3972.580943
30.0,859,3987.428949
62.0,1527,4013.119619
21.0,690,4024.302618
34.0,875,4039.082874
29.0,777,4052.044254
47.0,843,4065.780131
211.0,687,4076.767338
47.0,1218,4097.892698
29.0,796,4111.055753
25.0,870,4125.87696
21.0,651,4136.591884
27.0,921,4152.285456
10.0,468,4159.488989
26.0,849,4173.895551
33.0,953,4189.418175
39.0,619,4199.824749
241.0,997,4215.900903
14.0,493,4224.215931
8.0,465,4232.247773
37.0,978,4248.223281
31.0,781,4261.264124
26.0,654,4271.855625
288.0,1033,4289.339279
27.0,718,4301.233878
18.0,670,4311.512836
27.0,887,4325.62854
19.0,639,4335.791934
44.0,1026,4351.342201
14.0,477,4358.950195
16.0,590,4368.422289
41.0,1282,4388.271403
52.0,906,4402.625152
23.0,617,4412.8232
48.0,1299,4433.953032
50.0,1158,4453.193339
25.0,702,4464.467669
41.0,858,4478.893021
34.0,1043,4495.423848
13.0,595,4505.123901
15.0,435,4511.805258
25.0,620,4522.15349
45.0,992,4537.471292
17.0,678,4547.749614
32.0,736,4559.32579
30.0,850,4572.554486
57.0,1086,4588.591598
69.0,1529,4612.400025
28.0,880,4625.845608
40.0,597,4634.045358
31.0,948,4648.183341
41.0,1117,4665.412858
20.0,656,4675.391735
62.0,1287,4695.289147
29.0,848,4708.653748
37.0,1076,4725.131027
30.0,753,4736.691891
14.0,520,4744.775734
37.0,1131,4761.588645
29.0,921,4775.770807
32.0,917,4789.555369
27.0,803,4802.494899
32.0,1007,4817.15251
25.0,736,4828.847623
28.0,959,4843.456658
38.0,942,4858.776005
1.0,157,4860.905699
34.0,1087,4878.077257
51.0,1331,4899.182165
23.0,657,4909.239179
20.0,722,4921.020521
39.0,972,4936.651502
22.0,750,4948.362317
26.0,641,4958.525068
40.0,644,4968.962719
17.0,593,4978.524424
9.0,480,4985.60243
49.0,697,4997.104187
26.0,813,5009.799886
47.0,1047,5026.148238
38.0,952,5040.357261
16.0,588,5049.811615
73.0,1183,5068.085871
31.0,1012,5083.641412
8.0,412,5089.991
9.0,440,5096.578133
37.0,1008,5112.03562
44.0,779,5124.02652
50.0,1130,5141.658104
36.0,1104,5157.784931
71.0,1169,5175.737002
31.0,650,5186.689986
17.0,588,5196.561471
22.0,686,5207.69234
17.0,681,5219.207894
37.0,982,5235.734825
27.0,664,5246.210363
25.0,789,5258.778617
45.0,831,5271.140455
14.0,627,5280.922305
35.0,950,5295.415012
55.0,1226,5314.828181
61.0,1352,5335.381144
27.0,886,5348.928086
37.0,921,5362.733123
39.0,1109,5380.475681
52.0,1259,5398.955993
45.0,1016,5414.437966
41.0,1030,5430.528194
11.0,542,5438.818814
54.0,932,5452.802364
32.0,949,5467.872298
39.0,1081,5484.357517
14.0,663,5494.407137
0.0,129,5496.49907
49.0,1189,5514.719378
41.0,887,5528.448294
59.0,1176,5546.229412
26.0,905,5560.039856
21.0,577,5568.595243
8.0,404,5574.486582
34.0,861,5587.610082
49.0,715,5598.795876
49.0,1166,5616.828197
66.0,1177,5634.450111
38.0,974,5648.754992
27.0,813,5661.250437
43.0,959,5676.373698
36.0,1014,5691.980511
40.0,1062,5708.106066
26.0,735,5718.850858
29.0,828,5732.01044
64.0,1235,5750.037827
37.0,1037,5765.657145
39.0,821,5778.530993
28.0,726,5789.312866
21.0,736,5800.778606
42.0,879,5814.491544
26.0,879,5827.878892
36.0,950,5842.895494
33.0,822,5855.363361
24.0,903,5868.905575
55.0,1439,5890.537843
