#{"t_start": 1511377188.8805397, "env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
11.0,459,483.639313
8.0,446,491.131901
5.0,331,495.581842
5.0,347,501.255308
1.0,177,503.928689
6.0,350,509.528435
5.0,352,514.630161
3.0,228,518.57824
2.0,202,521.16329
1.0,178,524.734705
0.0,127,526.605517
10.0,431,533.290417
8.0,414,539.663155
7.0,450,546.466464
5.0,292,551.677662
2.0,206,554.282681
5.0,309,558.730511
6.0,397,564.852449
8.0,428,572.306422
6.0,347,577.38383
9.0,437,584.946742
7.0,451,591.673096
3.0,231,595.650075
8.0,441,602.383463
9.0,383,608.416542
2.0,186,610.815425
3.0,248,614.769473
12.0,538,623.031935
3.0,217,626.719033
6.0,360,631.684335
7.0,393,637.95874
3.0,259,642.227793
5.0,355,648.121954
5.0,350,653.934744
5.0,332,658.466847
6.0,361,664.180159
5.0,297,668.50764
1.0,157,670.609938
5.0,307,675.197762
5.0,328,680.892591
7.0,445,687.664028
6.0,357,693.568831
6.0,341,698.578969
13.0,543,707.83731
3.0,214,710.527974
5.0,352,716.2766
9.0,364,722.021394
2.0,185,724.653877
5.0,329,729.177886
4.0,278,733.601046
3.0,233,737.53618
12.0,497,745.576611
8.0,429,752.140808
7.0,377,757.911528
7.0,399,763.984959
3.0,272,767.915357
2.0,203,770.774198
5.0,315,776.025577
10.0,365,781.784786
0.0,129,783.198693
4.0,270,787.2009
4.0,264,791.491483
7.0,412,798.500127
14.0,604,807.214604
8.0,389,813.436735
7.0,380,819.491655
8.0,430,826.125532
7.0,360,832.06482
3.0,251,836.166525
12.0,440,842.611982
8.0,442,849.099393
15.0,628,859.027207
21.0,650,869.577099
7.0,406,875.965827
13.0,606,885.708739
7.0,355,890.638523
10.0,558,899.879179
8.0,443,906.535433
9.0,475,914.380083
16.0,605,923.191859
9.0,469,930.680537
3.0,213,933.589785
10.0,452,941.019209
2.0,190,943.462535
10.0,540,952.068258
9.0,477,959.923895
7.0,407,966.047062
4.0,247,969.783314
5.0,352,974.606016
14.0,640,984.868158
10.0,503,992.887008
11.0,541,1001.147451
5.0,327,1006.69027
10.0,382,1012.600137
9.0,475,1019.434388
8.0,412,1025.818962
13.0,558,1035.07116
4.0,301,1039.442922
14.0,679,1049.917446
13.0,337,1055.44431
14.0,634,1065.086739
18.0,556,1074.377788
15.0,645,1084.701366
14.0,544,1092.785955
14.0,571,1101.743299
4.0,263,1105.615039
6.0,324,1110.440935
16.0,562,1119.609972
11.0,489,1126.683354
9.0,531,1135.090316
14.0,591,1144.853806
7.0,410,1151.318805
16.0,681,1162.081791
11.0,513,1170.065055
21.0,635,1180.206451
9.0,493,1188.149034
6.0,367,1194.042557
3.0,248,1197.030939
9.0,498,1204.879581
20.0,752,1216.73626
8.0,428,1223.106334
34.0,653,1233.850667
13.0,505,1241.876449
13.0,464,1248.718057
5.0,281,1253.729578
8.0,401,1259.734843
6.0,358,1264.759258
13.0,641,1274.769788
8.0,435,1281.349659
14.0,475,1288.989859
5.0,283,1293.275339
4.0,257,1297.338986
9.0,434,1303.925813
12.0,607,1313.808449
20.0,683,1324.670243
13.0,632,1334.565289
14.0,589,1344.158814
11.0,545,1352.463624
17.0,702,1363.390648
13.0,670,1373.251404
13.0,577,1382.736481
24.0,795,1394.931703
4.0,259,1398.830093
19.0,751,1410.257508
20.0,680,1421.813249
15.0,553,1430.348571
17.0,649,1440.315902
9.0,432,1446.591267
22.0,891,1460.738794
15.0,628,1470.600398
3.0,214,1473.455657
20.0,611,1482.989748
37.0,945,1497.927742
17.0,747,1509.358574
15.0,685,1520.060593
17.0,664,1530.449775
17.0,589,1539.89354
7.0,393,1545.949102
13.0,595,1554.768511
17.0,623,1565.043212
16.0,706,1575.614875
15.0,581,1585.083509
7.0,423,1591.623367
9.0,450,1598.43005
13.0,580,1607.935944
13.0,482,1615.25337
24.0,784,1627.153347
19.0,646,1637.295771
27.0,800,1650.593699
55.0,835,1663.269148
16.0,567,1671.918631
20.0,731,1683.830094
14.0,713,1694.90203
242.0,919,1709.057218
15.0,621,1719.09084
43.0,801,1731.038242
22.0,734,1742.824565
23.0,648,1753.364123
15.0,677,1763.633375
17.0,650,1773.784939
20.0,615,1783.584767
13.0,335,1788.391365
8.0,396,1794.56344
3.0,254,1798.677494
3.0,253,1802.437397
11.0,271,1806.565866
24.0,501,1814.30814
13.0,491,1821.339313
6.0,339,1827.015305
15.0,650,1837.369957
15.0,670,1847.232036
26.0,803,1859.895149
8.0,402,1866.079715
16.0,695,1877.219297
19.0,627,1886.110958
35.0,511,1894.464851
15.0,553,1903.610553
35.0,1061,1919.914184
30.0,880,1933.318892
9.0,501,1941.072988
19.0,529,1949.181999
23.0,635,1959.225169
20.0,542,1967.542725
13.0,370,1973.348999
6.0,337,1978.689051
26.0,734,1989.723657
14.0,641,1999.882418
18.0,631,2009.489202
23.0,635,2019.733452
22.0,630,2029.552587
11.0,271,2033.651154
23.0,803,2046.055799
16.0,561,2054.644558
8.0,281,2059.150626
16.0,435,2065.634346
15.0,507,2073.393074
17.0,573,2082.589208
23.0,774,2095.033285
28.0,777,2107.138968
23.0,771,2118.405627
26.0,841,2131.99754
36.0,1017,2147.179334
43.0,1021,2163.173597
26.0,562,2171.313126
53.0,884,2184.978202
13.0,599,2193.794945
16.0,523,2201.81506
12.0,306,2206.109379
29.0,673,2216.976978
40.0,917,2230.630718
3.0,220,2233.661107
30.0,758,2245.328241
40.0,970,2261.045497
27.0,862,2274.093371
17.0,591,2283.270901
31.0,871,2295.77967
21.0,612,2305.329829
21.0,618,2314.947824
32.0,718,2326.003315
20.0,683,2337.405427
17.0,723,2347.894556
16.0,662,2358.45473
27.0,902,2372.549934
15.0,529,2380.610268
33.0,817,2393.391186
31.0,924,2407.776931
37.0,887,2421.862997
30.0,954,2437.448914
19.0,607,2445.720729
22.0,692,2457.195001
13.0,352,2462.242121
22.0,663,2472.021272
43.0,1094,2489.653228
26.0,572,2498.223304
49.0,1087,2514.891109
45.0,1055,2531.796828
31.0,782,2543.880459
25.0,896,2557.664339
20.0,596,2567.10335
39.0,1012,2582.925699
48.0,1329,2603.656319
22.0,783,2616.018955
21.0,838,2629.951164
23.0,568,2638.347888
14.0,412,2644.479908
40.0,931,2659.181608
21.0,601,2669.193999
36.0,881,2682.991397
16.0,707,2693.543534
7.0,391,2699.728654
31.0,846,2712.291142
32.0,755,2724.281405
13.0,535,2732.688845
24.0,824,2745.961793
19.0,830,2758.602323
27.0,698,2769.180404
35.0,1036,2785.436311
31.0,786,2797.599234
18.0,737,2809.251555
30.0,816,2821.843878
37.0,962,2838.038827
78.0,1089,2854.412781
28.0,817,2866.971774
22.0,843,2880.756118
33.0,969,2895.571516
21.0,753,2907.225635
18.0,707,2917.907446
26.0,796,2931.144455
33.0,813,2943.655097
34.0,762,2955.599649
19.0,528,2963.776962
32.0,773,2976.111066
25.0,846,2988.669613
19.0,788,3001.148791
40.0,935,3015.730113
13.0,473,3023.115027
157.0,744,3035.340575
24.0,638,3044.95637
28.0,820,3058.245181
36.0,894,3072.351126
45.0,1019,3087.448469
17.0,721,3099.072412
20.0,756,3110.923157
42.0,1079,3127.115655
52.0,963,3143.181731
23.0,510,3149.998582
29.0,753,3161.905935
23.0,571,3171.29944
23.0,598,3180.029228
18.0,601,3189.761433
24.0,753,3201.101553
27.0,756,3212.728455
34.0,1075,3230.290005
44.0,1167,3248.648794
38.0,729,3259.737673
14.0,532,3268.254277
20.0,606,3278.452247
22.0,759,3290.995577
1.0,157,3293.582943
22.0,764,3306.401184
32.0,748,3318.060422
36.0,530,3326.568479
42.0,1002,3343.654027
28.0,816,3357.329329
34.0,857,3371.76708
52.0,919,3386.584494
32.0,659,3397.610041
13.0,636,3407.912781
40.0,811,3421.109598
31.0,657,3431.395852
31.0,988,3447.094113
65.0,1346,3468.044927
43.0,1088,3485.509042
7.0,394,3491.665398
22.0,697,3502.139714
45.0,809,3514.52406
54.0,1148,3532.525788
39.0,1160,3550.419894
32.0,915,3564.58123
33.0,786,3576.68693
58.0,1258,3596.659247
0.0,129,3598.820022
35.0,1037,3615.073514
29.0,951,3629.853377
32.0,1177,3647.913996
61.0,1023,3664.000856
0.0,127,3665.788369
13.0,602,3674.892332
20.0,596,3684.346553
13.0,626,3693.991312
25.0,809,3706.423869
47.0,1348,3727.153268
28.0,915,3741.11217
12.0,530,3749.506113
5.0,316,3755.208622
25.0,500,3763.513787
50.0,1269,3783.728352
42.0,866,3798.254047
48.0,1037,3815.526804
33.0,794,3828.087762
14.0,531,3836.392931
34.0,699,3847.324078
32.0,776,3860.049871
41.0,1132,3879.025007
232.0,1277,3900.535423
13.0,539,3909.586138
26.0,832,3923.76501
24.0,706,3935.286634
34.0,954,3951.022447
233.0,741,3963.704635
35.0,804,3976.930496
49.0,1345,4000.029961
36.0,1233,4020.368052
24.0,973,4036.741565
19.0,634,4046.694359
27.0,892,4061.554498
28.0,819,4075.748126
21.0,473,4083.102822
29.0,816,4096.490651
21.0,741,4109.069619
27.0,783,4122.05864
23.0,705,4133.650908
23.0,730,4146.35009
14.0,483,4154.644738
17.0,550,4163.540208
30.0,920,4178.633224
36.0,950,4194.025155
47.0,1371,4217.42452
21.0,723,4229.131019
26.0,623,4239.46775
24.0,777,4252.294388
15.0,527,4261.228628
41.0,720,4273.437925
37.0,837,4287.170621
59.0,1396,4309.783723
16.0,680,4320.211933
59.0,1046,4336.624384
43.0,1082,4354.3917
19.0,662,4364.481773
34.0,848,4377.692534
17.0,745,4389.550369
31.0,913,4404.207302
24.0,604,4413.268806
6.0,321,4418.96509
21.0,729,4430.355688
38.0,860,4444.734328
39.0,884,4459.410349
30.0,871,4473.865901
38.0,1100,4491.286355
14.0,525,4499.344557
16.0,652,4509.981884
18.0,772,4522.523776
19.0,720,4533.642818
23.0,880,4547.474977
15.0,724,4558.644748
28.0,887,4572.426691
18.0,729,4582.845518
37.0,1159,4600.640851
31.0,792,4612.805723
21.0,844,4625.942373
36.0,979,4640.041608
45.0,1039,4655.794325
40.0,1069,4671.994635
75.0,1258,4691.583735
42.0,1136,4709.303475
21.0,588,4717.879173
34.0,900,4731.531166
19.0,564,4740.575418
32.0,873,4753.697504
35.0,792,4765.514268
27.0,849,4779.070086
31.0,1027,4795.019907
41.0,1097,4811.008851
40.0,1077,4828.42259
31.0,630,4837.3531
35.0,971,4853.071168
5.0,352,4858.603417
34.0,911,4873.190866
40.0,775,4884.86249
24.0,763,4897.069037
26.0,826,4910.533279
25.0,754,4921.673248
34.0,867,4936.049797
43.0,1034,4952.435643
42.0,864,4966.332809
21.0,508,4974.322732
24.0,762,4985.929871
18.0,659,4996.286933
16.0,726,5008.092587
21.0,827,5021.025367
35.0,760,5032.4379
19.0,745,5044.098264
57.0,1228,5062.734848
45.0,788,5074.814629
33.0,901,5088.890331
21.0,722,5100.638353
26.0,781,5112.308656
32.0,1018,5127.978275
23.0,823,5140.48414
34.0,998,5155.394512
34.0,900,5169.370367
37.0,892,5183.571507
30.0,797,5197.04686
9.0,458,5204.203025
27.0,792,5217.462956
21.0,723,5230.015462
22.0,706,5240.84946
39.0,1017,5257.366841
23.0,680,5267.208949
25.0,919,5281.790051
29.0,803,5293.680962
35.0,1038,5309.907678
52.0,814,5322.834115
32.0,752,5333.907334
39.0,1133,5351.273147
43.0,1150,5368.953233
26.0,844,5382.443917
22.0,658,5391.89988
42.0,1141,5408.905379
35.0,957,5424.134375
9.0,404,5430.370926
28.0,919,5444.393506
38.0,1224,5462.534184
51.0,1131,5480.60148
12.0,506,5488.228932
37.0,846,5501.210015
26.0,768,5513.151143
207.0,1389,5534.690599
27.0,884,5548.039375
42.0,634,5557.979149
55.0,1228,5576.233283
74.0,985,5591.285452
23.0,759,5602.910038
24.0,960,5617.361738
38.0,1036,5632.781035
80.0,1110,5650.077465
30.0,788,5662.382002
31.0,663,5672.346385
44.0,1059,5688.517352
41.0,916,5702.148262
90.0,1719,5728.345876
98.0,1637,5753.413752
47.0,1157,5771.154783
50.0,1087,5787.125731
32.0,986,5802.99547
9.0,422,5809.295338
30.0,992,5825.086975
26.0,825,5837.599867
30.0,882,5851.095127
49.0,1151,5868.70266
32.0,951,5882.463413
