#{"t_start": 1511377188.8805397, "env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
2.0,205,6.393348
1.0,153,8.618113
0.0,129,10.836397
5.0,352,16.757185
1.0,151,18.876262
1.0,173,21.238937
0.0,127,23.382086
0.0,127,25.354835
1.0,157,27.508288
2.0,206,30.324479
0.0,125,32.196978
1.0,153,34.430212
0.0,129,36.526282
0.0,125,38.465075
1.0,155,40.688384
0.0,127,42.738772
1.0,173,45.091151
0.0,127,46.983433
0.0,125,49.064471
1.0,173,51.38133
0.0,129,53.360931
0.0,125,55.476745
3.0,250,59.282686
14.0,607,68.777122
0.0,129,70.715405
1.0,171,73.862907
0.0,129,76.06661
2.0,222,78.939458
0.0,127,81.224217
2.0,202,83.794261
5.0,369,90.062427
0.0,127,91.994297
1.0,153,94.529356
0.0,129,96.41776
2.0,202,99.885615
0.0,129,101.320573
4.0,302,106.565511
3.0,217,109.51816
1.0,173,112.697321
2.0,224,115.823325
3.0,250,119.965305
4.0,280,124.323521
0.0,129,126.471417
0.0,129,128.439263
2.0,206,131.095376
1.0,155,134.606485
0.0,129,135.741514
1.0,173,138.976568
1.0,173,141.671311
1.0,175,144.158789
0.0,129,146.363671
0.0,129,148.379379
0.0,129,150.336331
0.0,127,152.449336
2.0,224,155.352191
4.0,266,159.737457
1.0,175,162.852165
1.0,175,165.381581
0.0,127,167.428136
0.0,125,169.276742
0.0,125,170.321244
1.0,173,173.810563
4.0,267,177.775438
1.0,171,180.477538
0.0,125,182.257873
0.0,127,184.092699
4.0,299,188.702629
1.0,157,190.870505
1.0,155,193.452547
1.0,175,195.801868
4.0,277,200.244152
4.0,297,205.65488
0.0,129,207.512083
0.0,125,208.589916
3.0,266,212.831973
2.0,206,216.300438
4.0,299,220.945379
7.0,431,227.465635
3.0,217,231.296927
0.0,127,233.141233
0.0,129,235.084716
6.0,397,241.384372
2.0,203,244.243835
3.0,253,248.047257
5.0,330,253.773355
1.0,173,256.234311
0.0,129,258.346384
1.0,157,260.547228
2.0,206,263.509633
0.0,127,265.404575
1.0,153,267.531984
7.0,410,273.983011
6.0,358,280.143721
4.0,282,284.648391
2.0,185,287.107288
2.0,189,290.818776
2.0,187,293.23623
4.0,286,297.827203
0.0,129,299.71846
4.0,276,304.142919
3.0,230,307.815533
3.0,250,311.891315
4.0,295,316.506035
1.0,175,318.825838
5.0,352,324.630575
2.0,187,327.08246
2.0,209,330.688277
0.0,129,332.64169
4.0,284,336.89977
1.0,177,339.200004
2.0,226,343.135939
3.0,232,345.985775
2.0,223,349.805085
11.0,485,357.875772
6.0,397,364.312779
1.0,157,366.602768
3.0,233,370.526048
4.0,295,375.10261
1.0,157,377.33235
1.0,153,379.596536
2.0,202,382.43631
5.0,350,388.33408
4.0,283,392.613047
7.0,427,399.438668
7.0,406,405.935308
2.0,183,409.14795
3.0,254,413.266169
3.0,218,416.010598
4.0,305,420.505378
4.0,299,425.632226
5.0,311,430.077197
9.0,404,436.457111
7.0,409,442.87819
1.0,157,445.420143
4.0,247,449.249446
9.0,494,457.525446
5.0,295,461.999464
5.0,347,467.910319
4.0,300,472.544235
4.0,267,476.466615
