#{"t_start": 1511377188.7630994, "env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
5.0,325,8.507229
2.0,202,11.43864
0.0,125,13.335784
0.0,127,15.30249
0.0,129,17.44469
2.0,203,20.849634
0.0,129,22.139635
0.0,129,24.192061
3.0,250,28.077125
0.0,125,30.114125
2.0,224,33.774229
0.0,127,35.88376
0.0,127,36.991116
1.0,157,40.049018
0.0,127,41.174988
0.0,127,43.237
4.0,297,48.376112
1.0,173,50.923408
1.0,173,53.306079
5.0,349,59.087959
3.0,228,62.266534
2.0,200,65.657015
4.0,324,70.553841
0.0,123,72.404195
0.0,129,74.639713
0.0,127,76.60318
0.0,127,78.506365
1.0,157,80.932742
0.0,129,82.996099
4.0,299,87.667077
2.0,223,91.362159
1.0,176,94.006589
0.0,127,96.021633
0.0,127,97.926755
0.0,127,99.041733
3.0,228,103.086795
0.0,127,104.911572
0.0,127,107.020789
0.0,129,109.001504
0.0,125,110.853662
0.0,127,112.789387
0.0,127,114.26555
2.0,222,117.772713
1.0,157,120.33365
2.0,202,123.829449
3.0,231,127.087737
1.0,173,130.169209
0.0,123,131.25181
0.0,127,133.622677
0.0,125,135.550028
0.0,129,137.46126
1.0,174,140.203272
1.0,157,142.483366
0.0,129,144.513685
0.0,129,146.737485
0.0,129,148.751117
0.0,127,150.667359
0.0,129,152.933914
0.0,129,154.829764
1.0,155,156.899975
0.0,125,159.028421
3.0,236,162.868292
1.0,173,165.291127
0.0,129,167.434498
4.0,299,172.00914
4.0,319,176.492308
0.0,127,178.755553
1.0,153,180.96667
8.0,352,186.883176
4.0,265,190.678073
0.0,129,193.078582
1.0,155,195.225072
0.0,129,197.127099
1.0,175,199.855604
2.0,200,202.392513
3.0,271,206.734265
4.0,297,212.108513
0.0,129,213.986108
0.0,127,215.086542
0.0,129,217.188344
1.0,155,219.501932
3.0,256,223.384693
4.0,260,227.4463
3.0,217,231.271432
4.0,302,235.674224
4.0,284,240.129367
0.0,127,241.955441
11.0,505,250.294045
1.0,157,252.483678
2.0,187,254.954258
3.0,232,259.032515
1.0,153,261.176952
4.0,299,265.844574
7.0,446,273.354393
0.0,129,275.369175
4.0,281,279.882282
7.0,399,286.39185
5.0,337,291.493517
5.0,352,297.48661
3.0,229,301.129812
3.0,251,304.544667
3.0,252,308.630032
3.0,230,312.280872
3.0,232,316.334719
0.0,125,318.124933
1.0,178,320.460706
2.0,204,323.300645
2.0,186,326.512709
1.0,155,328.856942
0.0,129,330.731984
1.0,157,332.992912
3.0,214,335.826847
4.0,269,339.774637
1.0,155,342.197671
1.0,157,345.134881
3.0,252,348.453343
5.0,322,354.021827
0.0,125,355.973956
6.0,356,361.261686
3.0,235,364.957543
5.0,310,369.751675
3.0,268,374.116126
5.0,301,379.267019
10.0,436,386.139369
1.0,154,388.508151
7.0,386,394.809488
3.0,255,398.66094
12.0,431,405.482136
3.0,246,409.529863
3.0,272,413.76944
3.0,230,417.412221
3.0,250,420.591297
9.0,502,428.52388
10.0,429,435.902839
4.0,321,440.710597
2.0,209,443.357846
12.0,508,452.051274
3.0,251,455.853111
3.0,218,459.747948
3.0,267,463.781612
0.0,127,465.973383
